Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PAYX,Paychex Inc. Common Stock,$126.92,1.67,1.333%,45707307544.00,United States,1983,400036,Consumer Discretionary,Diversified Commercial Services
PCAR,PACCAR Inc. Common Stock,$96.02,0.33,0.345%,50335779733.00,United States,,484912,Consumer Discretionary,Auto Manufacturing
PDD,PDD Holdings Inc. American Depositary Shares,$145.91,1.69,1.172%,200753598351.00,China,2018,5136616,Consumer Discretionary,Business Services
PEP,PepsiCo Inc. Common Stock,$175.255,-0.595,-0.338%,240725430962.00,United States,,2015731,Consumer Staples,Beverages (Production/Distribution)
PFG,Principal Financial Group Inc Common Stock,$77.53,0.35,0.453%,17954685501.00,United States,2001,331481,Finance,Accident &Health Insurance
PODD,Insulet Corporation Common Stock,$184.29,1.82,0.997%,12921582178.00,United States,2007,341987,Health Care,Medical/Dental Instruments
POOL,Pool Corporation Common Stock,$350.94,4.84,1.398%,13426237252.00,United States,1995,122114,Consumer Discretionary,Industrial Specialties
PPC,Pilgrim's Pride Corporation Common Stock,$43.855,0.315,0.723%,10399032498.00,United States,,400160,Consumer Staples,Meat/Poultry/Fish
PTC,PTC Inc. Common Stock,$176.66,0.49,0.278%,21223089908.00,United States,,164529,Technology,Computer Software: Prepackaged Software
PYPL,PayPal Holdings Inc. Common Stock,$71.62,-0.27,-0.376%,73219517607.00,United States,,7338056,Consumer Discretionary,Business Services
QCOM,QUALCOMM Incorporated Common Stock,$173.46,1.35,0.784%,193234440000.00,United States,1991,3757389,Technology,Radio And Television Broadcasting And Communications Equipment
QRTEP,Qurate Retail Inc. 8.0% Fixed Rate Cumulative Redeemable Preferred Stock,$41.8499,0.8599,2.098%,16611127008.00,United States,,37206,Consumer Discretionary,Catalog/Specialty Distribution
QRVO,Qorvo Inc. Common Stock,$112.76,1.53,1.376%,10696565375.00,United States,,283437,Technology,Semiconductors
REG,Regency Centers Corporation Common Stock,$70.885,0.445,0.632%,12865393154.00,United States,1993,294335,Real Estate,Real Estate Investment Trusts
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$1189.16,-3.07,-0.258%,131086492506.00,United States,1991,159819,Health Care,Biotechnology: Pharmaceutical Preparations
RIVN,Rivian Automotive Inc. Class A Common Stock,$13.015,-0.185,-1.402%,13122681425.00,United States,2021,18304922,Consumer Discretionary,Auto Manufacturing
ROP,Roper Technologies Inc. Common Stock,$549.63,2.18,0.398%,58919602244.00,United States,1992,140574,Industrials,Industrial Machinery/Components
ROST,Ross Stores Inc. Common Stock,$153.685,5.985,4.052%,51265459429.00,United States,1985,1777913,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$27.62,0.36,1.321%,16391341668.00,United States,2020,1173580,Health Care,Biotechnology: Pharmaceutical Preparations
RYAAY,Ryanair Holdings plc American Depositary Shares,$102.5475,0.2675,0.262%,116884720120.00,Ireland,1997,356710,Consumer Discretionary,Air Freight/Delivery Services
SAIA,Saia Inc. Common Stock,$394.385,10.195,2.654%,10486662839.00,United States,,74698,Industrials,Trucking Freight/Courier Services
SBAC,SBA Communications Corporation Class A Common Stock,$219.33,-0.16,-0.073%,23571935310.00,United States,1999,187321,Real Estate,Real Estate Investment Trusts
SBUX,Starbucks Corporation Common Stock,$93.00,-0.01,-0.011%,105387600000.00,United States,1992,4764137,Consumer Discretionary,Restaurants
SIRI,Sirius XM Holdings Inc. Common Stock,$3.295,0.045,1.385%,12686946592.00,United States,,28584573,Consumer Discretionary,Broadcasting
SLMBP,SLM Corporation Floating Rate Non-Cumulative Preferred Stock Series B,$75.85,-0.33,-0.433%,16494444156.00,United States,,115547,Finance,Finance: Consumer Services
SMCI,Super Micro Computer Inc. Common Stock,$622.97,12.06,1.974%,36478959625.00,United States,2020,5161948,Technology,Computer Manufacturing
SNPS,Synopsys Inc. Common Stock,$564.99,7.96,1.429%,86565560384.00,United States,1992,443638,Technology,Computer Software: Prepackaged Software
SNY,Sanofi ADS,$55.23,0.45,0.821%,139709804576.00,France,,1694214,Health Care,Biotechnology: Pharmaceutical Preparations
SRAD,Sportradar Group AG Class A Ordinary Shares,$11.90,0.46,4.021%,13226432310.00,Switzerland,2021,529214,Technology,Computer Software: Programming Data Processing
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),$142.07,1.58,1.125%,13548695071.00,United States,,541407,Health Care,Biotechnology: Pharmaceutical Preparations
SSNC,SS&C Technologies Holdings Inc. Common Stock,$73.11,0.30,0.412%,17942650936.00,United States,2010,784818,Technology,Computer Software: Prepackaged Software
STLD,Steel Dynamics Inc.,$118.915,2.965,2.557%,18348885117.00,United States,1996,688888,Industrials,Steel/Iron Ore
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$103.92,0.37,0.357%,21843489237.00,Ireland,2002,659199,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$107.665,1.445,1.36%,17195863084.00,United States,,528150,Technology,Semiconductors
SYM,Symbotic Inc. Class A Common Stock,$24.64,0.77,3.226%,14428617699.00,United States,2021,957381,Industrials,Industrial Machinery/Components
TCOM,Trip.com Group Limited American Depositary Shares,$43.00,1.72,4.167%,27807745422.00,China,2003,3538858,Consumer Discretionary,Business Services
TEAM,Atlassian Corporation Class A Common Stock,$156.74,0.45,0.288%,40756790287.00,Australia,2015,775625,Technology,Computer Software: Prepackaged Software
TECH,Bio-Techne Corp Common Stock,$72.51,0.17,0.235%,11426462029.00,United States,,530725,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TEM,Tempus AI Inc. Class A Common Stock,$71.234,12.524,21.332%,10992739131.00,United States,2024,1280104,Technology,Computer Software: Programming Data Processing
TER,Teradyne Inc. Common Stock,$134.97,3.24,2.46%,22023877002.00,United States,,566705,Industrials,Electrical Products
TMUS,T-Mobile US Inc. Common Stock,$196.115,-0.105,-0.054%,228823850632.00,United States,,1462161,Telecommunications,Telecommunications Equipment
TPG,TPG Inc. Class A Common Stock,$48.89,0.36,0.742%,17836332140.00,United States,2022,369393,Finance,Investment Managers
TRMB,Trimble Inc. Common Stock,$56.35,0.26,0.464%,13844472649.00,United States,1990,312761,Industrials,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,$109.595,1.085,1.00%,24395607645.00,United States,1986,371497,Finance,Investment Bankers/Brokers/Service
TSCO,Tractor Supply Company Common Stock,$267.51,4.11,1.56%,28856002484.00,United States,1994,331899,Consumer Discretionary,RETAIL: Building Materials
TSLA,Tesla Inc. Common Stock,$222.24,1.14,0.516%,709976885830.00,United States,2010,61287236,Consumer Discretionary,Auto Manufacturing
TTD,The Trade Desk Inc. Class A Common Stock,$103.91,1.77,1.733%,51079856472.00,United States,2016,1254522,Technology,Computer Software: Programming Data Processing
TTEK,Tetra Tech Inc. Common Stock,$234.09,1.38,0.593%,12531402559.00,United States,1991,142832,Consumer Discretionary,Military/Government/Technical
TTWO,Take-Two Interactive Software Inc. Common Stock,$159.555,4.745,3.065%,27967243006.00,United States,1997,1162947,Technology,Computer Software: Prepackaged Software
TW,Tradeweb Markets Inc. Class A Common Stock,$116.41,0.57,0.492%,27508012790.00,United States,2019,320112,Finance,Investment Bankers/Brokers/Service
TXN,Texas Instruments Incorporated Common Stock,$209.17,6.63,3.273%,190981824081.00,United States,,5507393,Technology,Semiconductors
TXRH,Texas Roadhouse Inc. Common Stock,$168.465,1.735,1.041%,11232681842.00,United States,2004,253620,Consumer Discretionary,Restaurants
UAL,United Airlines Holdings Inc. Common Stock,$42.165,0.405,0.97%,13865281689.00,United States,,2139455,Consumer Discretionary,Air Freight/Delivery Services
ULTA,Ulta Beauty Inc. Common Stock,$381.19,12.14,3.29%,18189001174.00,United States,2007,1164804,Consumer Discretionary,Other Specialty Stores
UTHR,United Therapeutics Corporation Common Stock,$352.585,5.705,1.645%,15686921290.00,United States,1999,281453,Health Care,Biotechnology: Pharmaceutical Preparations
VLYPO,Valley National Bancorp 5.50% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series B,$24.70,0.02,0.081%,12577786117.00,United States,,944,Finance,Major Banks
VLYPP,Valley National Bancorp 6.25% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,$23.53,-0.105,-0.444%,11981996248.00,United States,,17848,Finance,Major Banks
VOD,Vodafone Group Plc American Depositary Shares,$9.575,0.045,0.472%,25410556626.00,United Kingdom,,2592351,Telecommunications,Telecommunications Equipment
VRSK,Verisk Analytics Inc. Common Stock,$269.47,0.78,0.29%,38378945698.00,United States,2009,144939,Technology,EDP Services
VRSN,VeriSign Inc. Common Stock,$180.95,2.12,1.185%,17660720000.00,United States,1998,255776,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$486.32,-1.05,-0.215%,125520263363.00,United States,1991,404459,Health Care,Biotechnology: Pharmaceutical Preparations
VTRS,Viatris Inc. Common Stock,$11.68,0.02,0.172%,13940319008.00,United States,,3991805,Health Care,Biotechnology: Pharmaceutical Preparations
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$7.6935,-0.0765,-0.985%,18863756852.00,United States,,13708122,Telecommunications,Cable & Other Pay Television Services
WDAY,Workday Inc. Class A Common Stock,$232.86,0.40,0.172%,61707900000.00,United States,,1311793,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,$64.645,0.225,0.349%,21108187163.00,United States,,2745918,Technology,Electronic Components
WING,Wingstop Inc. Common Stock,$379.975,6.315,1.69%,11134939770.00,United States,2015,145574,Consumer Discretionary,Restaurants
WMG,Warner Music Group Corp. Class A Common Stock,$29.14,-0.04,-0.137%,15092155784.00,United States,2020,313450,Consumer Discretionary,Services-Misc. Amusement & Recreation
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$283.23,1.76,0.625%,28763681805.00,United Kingdom,2001,93970,Finance,Specialty Insurers
XEL,Xcel Energy Inc. Common Stock,$60.055,0.065,0.108%,33480703397.00,United States,,683536,Utilities,Power Generation
XP,XP Inc. Class A Common Stock,$19.525,-0.025,-0.128%,10728854222.00,Brazil,2019,2658689,Finance,Investment Bankers/Brokers/Service
Z,Zillow Group Inc. Class C Capital Stock,$54.925,0.315,0.577%,12712083176.00,United States,,1982969,Consumer Discretionary,Business Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,$345.06,0.21,0.061%,17798320747.00,United States,1991,143887,Industrials,Industrial Machinery/Components
ZG,Zillow Group Inc. Class A Common Stock,$53.19,0.48,0.911%,12310527157.00,United States,2011,450823,Consumer Discretionary,Business Services
ZM,Zoom Video Communications Inc. Class A Common Stock,$59.71,0.58,0.981%,18466931581.00,United States,2019,3265942,Technology,Computer Software: Programming Data Processing
ZS,Zscaler Inc. Common Stock,$199.11,1.96,0.994%,30095294713.00,United States,2018,736739,Technology,EDP Services
